Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
0	BA STRANGE, A DUGGINS, W PENNY, RJ DOLAN, ...	Bayesian theory Bayesian theory, 1994	1994	ci.nii.ac.jp		https://ci.nii.ac.jp/naid/10016443965/		833	2021-12-16 9:10:44	CITATION								0	0	0	5	27	CiNii 論文 - <no title> CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり すべて 本文あり 閉じる タイトル 著者名 著者ID 著者所属 刊行物名 ISSN 巻号ページ 出版者 参考 …		
4236	KJ Friston, J Ashburner, CD Frith, JB Poline, ...	Spatial registration and normalization of images	1995	Human brain …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.460030303	https://scholar.google.com/scholar?cites=18106348714209522880&as_sdt=2005&sciodt=2007&hl=en	2	2021-12-16 9:10:44		10.1002/hbm.460030303							4236	162.92	847	5	26	This paper concerns the spatial and intensity transformations that map one image onto another. We present a general technique that facilitates nonlinear spatial (stereotactic) normalization and image realignment. This technique minimizes the sum of squares …	http://fil.ion.ucl.ac.uk/~karl/Spatial%20registration%20and%20normalization%20of%20images.pdf	https://scholar.google.com/scholar?q=related:wDTPWTmsRvsJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2619	KJ Friston, AP Holmes, JB Poline, PJ Grasby, ...	Analysis of fMRI time-series revisited	1995	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811985710075	https://scholar.google.com/scholar?cites=12516568314439785519&as_sdt=2005&sciodt=2007&hl=en	7	2021-12-16 9:10:44									2619	100.73	524	5	26	This paper presents a general approach to the analysis of functional MRI time-series from one or more subjects. The approach is predicated on an extension of the general linear model that allows for correlations between error terms due to physiological noise or …	http://www.fil.ion.ucl.ac.uk/spm/doc/papers/karl_revisited.pdf	https://scholar.google.com/scholar?q=related:L9wX_ZDIs60J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2408	KJ Worsley, KJ Friston	Analysis of fMRI time-series revisited—again	1995	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811985710233	https://scholar.google.com/scholar?cites=13779388495464404760&as_sdt=2005&sciodt=2007&hl=en	11	2021-12-16 9:10:44									2408	92.62	1204	2	26	Abstract Friston et al.(1995, NeuroImage 2: 45-53) presented a method for detecting activations in fMR1 time-series based on the general linear model and a heuristic analysis of the effective degrees of freedom. In this communication we present corrected results that …	https://www.mssc.mu.edu/~daniel/mscs6960/spring2010/WorsleyNIMG95.pdf	https://scholar.google.com/scholar?q=related:GJdCjtQ4Or8J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
1483	KJ Friston, CD Frith	Schizophrenia: a disconnection syndrome	1995	Clin Neurosci	fil.ion.ucl.ac.uk	http://www.fil.ion.ucl.ac.uk/~karl/Schizophrenia%20a%20disconnection%20syndrome.pdf	https://scholar.google.com/scholar?cites=14702763857238732342&as_sdt=2005&sciodt=2007&hl=en	28	2021-12-16 9:10:44	PDF								1483	57.04	742	2	26	We review the evidence of pathophysiological changes in the prefrontal and temporal cortices of schizophrenic subjects and of abnormal integration of the physiological dynamics in these two regions. The argument we develop is that some schizophrenic phenomena are …	http://www.fil.ion.ucl.ac.uk/~karl/Schizophrenia%20a%20disconnection%20syndrome.pdf	https://scholar.google.com/scholar?q=related:Nq4qX9S1CswJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
652	KJ Friston, CD Frith, RSJ Frackowiak, R Turner	Characterizing dynamic brain responses with fMRI: a multivariate approach	1995	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811985710191	https://scholar.google.com/scholar?cites=12310754058302521623&as_sdt=2005&sciodt=2007&hl=en	62	2021-12-16 9:10:44									652	25.08	163	4	26	In this paper we present a multivariate analysis of evoked hemodynamic responses and their spatiotemporal dynamics as measured with fast fMRI. This analysis uses standard multivariate statistics (MANCOVA) and the general linear model to make inferences about …	http://web.mit.edu/swg/ImagingPubs/connectivity/friston.neuroimage.1996.multivariate.pdf	https://scholar.google.com/scholar?q=related:FwFSQpeV2KoJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
309	KJ Friston	Commentary and opinion: II. Statistical parametric mapping: ontology and current issues	1995	Journal of Cerebral Blood Flow & Metabolism	journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1038/jcbfm.1995.45	https://scholar.google.com/scholar?cites=12956989601477633025&as_sdt=2005&sciodt=2007&hl=en	140	2021-12-16 9:10:44		10.1038/jcbfm.1995.45							309	11.88	309	1	26	This article was written at the invitation of the Editor, in response to the preceding article by Strother et aI.(1995). I have taken this opportunity to comment on several issues, some of which have been the subject of recent exchanges (eg, Taylor et aI., 1993; Worsley et aI …	https://journals.sagepub.com/doi/pdf/10.1038/jcbfm.1995.45	https://scholar.google.com/scholar?q=related:ASSBumR50LMJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
135	KJ Friston, G Tononi, O Sporns, ...	Characterising the complexity of neuronal interactions	1995	Human brain …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.460030405	https://scholar.google.com/scholar?cites=6801188942921765686&as_sdt=2005&sciodt=2007&hl=en	313	2021-12-16 9:10:44		10.1002/hbm.460030405							135	5.19	34	4	26	This work addresses the complexity of neuronal interactions, the nature of this complexity and how it can be characterised in real neurophysiological processes. A measure of complexity has been introduced recently (Tononi et al.[1994]: Proc Natl Acad Sci USA 91 …	https://www.fil.ion.ucl.ac.uk/~karl/Characterising%20the%20Complexity%20of%20Neuonal%20Interactions.pdf	https://scholar.google.com/scholar?q=related:NpMqMU-tYl4J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
129	JB Poline, KJ Worsley, AP Holmes, ...	Estimating smoothness in statistical parametric maps: variability of p values.	1995	Journal of computer …	europepmc.org	https://europepmc.org/article/med/7560327	https://scholar.google.com/scholar?cites=3897913256122191842&as_sdt=2005&sciodt=2007&hl=en	377	2021-12-16 9:10:44									129	4.96	32	4	26	OBJECTIVE: The smoothness parameter that characterises the spatial dependence of pixel values in functional brain images is usually estimated empirically from the data. Since this parameter is essential for the assessment of significant changes in brain activity, it is …		https://scholar.google.com/scholar?q=related:4g9zVHQrGDYJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
123	KJ Worsley, JB Poline, AC Vandal, KJ Friston	Tests for distributed, nonfocal brain activations	1995	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811985710245	https://scholar.google.com/scholar?cites=4784182971030615384&as_sdt=2005&sciodt=2007&hl=en	381	2021-12-16 9:10:44									123	4.73	31	4	26	Most approaches to detecting changes in functional brain images assume that activations are focal or very localized. However, the brain's response to cognitive of sensorimotor challenge may be spatially or anatomically distributed. In this paper we consider the use …	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.142.5511&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:WLXAgBDVZEIJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
3	KJ Friston	States of mind	1995	Nature	nature.com	https://www.nature.com/articles/375643a0	https://scholar.google.com/scholar?cites=6837846812122487429&as_sdt=2005&sciodt=2007&hl=en	804	2021-12-16 9:10:44	CITATION								3	0.12	3	1	26	IN In Search of Schrodinger's Cat, his previous popular book on quantum mechanics, John Gribbin emphasized the empirical successes of this strangest of physical theories and read the lesson that we must be prepared to accept its incomprehensibility and be grateful that it …		https://scholar.google.com/scholar?q=related:hRoZeXLp5F4J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
0	KJ Friston, LG Ungerleider, P Jezzard, ...	Characterizing modulatory interactions between areas V1 and V2 in human cortex: A new treatment of functional MRI data	1995	Human Brain Mapping	pure.mpg.de	https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_720691		852	2021-12-16 9:10:44	CITATION								0	0	0	4	26	Characterizing modulatory interactions between areas V1 and V2 in human cortex: A new treatment of functional MRI data :: MPG.PuRe English Help Privacy Policy Disclaimer Include files Advanced SearchBrowse START BASKET (0)Tools Item ITEM ACTIONSEXPORT Add to …		
0	PM Grasby, KJ Friston	Brain Activation Under Drug Treatment	1995	PET for Drug Development and Evaluation	Springer	https://link.springer.com/chapter/10.1007/978-94-011-0429-6_15		783	2021-12-16 9:10:44		10.1007/978-94-011-0429-6_15							0	0	0	2	26	This chapter explores the premise that assessment of a drug's effect in the CNS requires consideration of not only the receptors targeted by the drug but also the cerebral regions and neuronal circuits that are functionally modulated by the drug in vivo. A series of …		https://scholar.google.com/scholar?q=related:H7T5TAZHgOgJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2911	KJ Worsley, S Marrett, P Neelin, AC Vandal, ...	A unified statistical approach for determining significant signals in images of cerebral activation	1996	Human brain …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-0193(1996)4:1%3C58::AID-HBM4%3E3.0.CO;2-O	https://scholar.google.com/scholar?cites=5266894536229134450&as_sdt=2005&sciodt=2007&hl=en	8	2021-12-16 9:10:44		10.1002/(SICI)1097-0193(1996)4:1%3C58::AID-HBM4%3E3.0.CO;2-O							2911	116.44	582	5	25	We present a unified statistical theory for assessing the significance of apparent signal observed in noisy difference images. The results are usable in a wide range of applications, including fMRI, but are discussed with particular reference to PET images which represent …	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.113.1028&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:ciBi7azEF0kJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2852	KJ Friston, S Williams, R Howard, ...	Movement‐related effects in fMRI time‐series	1996	Magnetic resonance …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.1910350312	https://scholar.google.com/scholar?cites=4319442377477215972&as_sdt=2005&sciodt=2007&hl=en	13	2021-12-16 9:10:44		10.1002/mrm.1910350312							2852	114.08	713	4	25	This paper concerns the spatial and intensity transformations that are required to adjust for the confounding effects of subject movement during functional MRI (fMRI) activation studies. An approach is presented that models, and removes, movement‐related artifacts from fMRI …	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.64.1004&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:5FZM-fS98TsJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
1202	KJ Friston, A Holmes, JB Poline, CJ Price, CD Frith	Detecting activations in PET and fMRI: levels of inference and power	1996	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811996900749	https://scholar.google.com/scholar?cites=6884483465160686966&as_sdt=2005&sciodt=2007&hl=en	22	2021-12-16 9:10:44									1202	48.08	240	5	25	This paper is about detecting activations in statistical parametric maps and considers the relative sensitivity of a nested hierarchy of tests that we have framed in terms of the level of inference (voxel level, cluster level, and set level). These tests are based on the probability …	http://fil.ion.ucl.ac.uk/spm/doc/papers/karl_detecting.pdf	https://scholar.google.com/scholar?q=related:dv3zajyZil8J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
665	KJ Friston, CJ Price, P Fletcher, C Moore, ...	The trouble with cognitive subtraction	1996	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811996900336	https://scholar.google.com/scholar?cites=1723968667223960568&as_sdt=2005&sciodt=2007&hl=en	50	2021-12-16 9:10:44									665	26.6	133	5	25	In this paper we present a critique ofpure insertion. Pure insertion represents an implicit assumption behind many (but not all) studies that employcognitive subtraction. The main contention is that pure insertion is not valid in relation to the neuronal instantiation of …	https://pure.mpg.de/rest/items/item_2614815/component/file_2623713/content	https://scholar.google.com/scholar?q=related:-KvJbV7E7BcJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
310	KJ Friston, CD Frith, P Fletcher, PF Liddle, ...	Functional topography: multidimensional scaling and functional connectivity in the brain	1996	Cerebral …	academic.oup.com	https://academic.oup.com/cercor/article-abstract/6/2/156/338639	https://scholar.google.com/scholar?cites=1091835280493906609&as_sdt=2005&sciodt=2007&hl=en	123	2021-12-16 9:10:44									310	12.4	62	5	25	In neuroimaging, functional mapping usually implies mapping function into an anatomical space, for example, using statistical parametric mapping to identify activation foci, or the characterization of distributed changes with spatial modes (eigenimages or principal …	https://academic.oup.com/cercor/article-pdf/6/2/156/968534/6-2-156.pdf	https://scholar.google.com/scholar?q=related:sQoUH2f6Jg8J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
232	KJ Friston	Statistical parametric mapping and other analyses of functional imaging data	1996	Brain mapping: The methods	ci.nii.ac.jp	https://ci.nii.ac.jp/naid/10018671307/	https://scholar.google.com/scholar?cites=10135405873539451623&as_sdt=2005&sciodt=2007&hl=en	658	2021-12-16 9:10:44	CITATION								232	9.28	232	1	25	CiNii 論文 - Statistical parametric mapping and other analyses of functional imaging data CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり すべて 本文あり 閉じる …		https://scholar.google.com/scholar?q=related:5wq6OvExqIwJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
